Country,Metric,Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Equatorial Guinea,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,. .,. .,. .,7.60%,7.50%,6.20%,. .,. .,. .,. .,2.40%,. .,0.60%,. .,. .
Eritrea,Share of Govt Spending,Sub-Saharan Africa,47.70%,41.90%,44.00%,32.10%,33.00%,31.10%,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Ethiopia,Share of Govt Spending,Sub-Saharan Africa,28.80%,36.20%,29.50%,19.20%,14.80%,12.10%,13.30%,12.10%,10.30%,9.10%,7.90%,6.90%,6.10%,6.00%,5.20%,4.50%,4.40%,4.10%,3.80%,3.70%,3.90%
Gabon,Share of Govt Spending,Sub-Saharan Africa,. .,. .,8.30%,6.40%,6.90%,7.90%,7.70%,6.00%,6.10%,. .,. .,. .,8.10%,6.70%,6.80%,4.60%,4.80%,5.30%,6.60%,10.00%,9.20%
Gambia,Share of Govt Spending,Sub-Saharan Africa,. .,. .,3.50%,2.50%,3.00%,2.50%,1.60%,2.20%,1.90%,3.20%,9.50%,3.40%,. .,. .,4.10%,4.30%,6.30%,5.20%,. .,. .,3.30%
Ghana,Share of Govt Spending,Sub-Saharan Africa,2.60%,2.80%,3.40%,1.80%,2.30%,2.30%,1.90%,1.90%,1.70%,2.10%,1.70%,1.90%,1.40%,2.20%,2.70%,1.90%,2.30%,2.10%,1.50%,1.80%,1.60%
Guinea,Share of Govt Spending,Sub-Saharan Africa,8.50%,9.90%,9.00%,15.40%,16.70%,12.00%,12.40%,. .,. .,. .,. .,. .,. .,. .,11.40%,12.60%,11.10%,11.60%,11.70%,11.20%,9.90%
Guinea-Bissau,Share of Govt Spending,Sub-Saharan Africa,5.60%,. .,10.40%,7.90%,9.70%,8.00%,. .,9.40%,. .,. .,. .,7.50%,9.80%,8.80%,18.00%,15.80%,8.20%,6.90%,. .,. .,. .
Kenya,Share of Govt Spending,Sub-Saharan Africa,5.40%,5.80%,6.30%,6.80%,6.90%,6.90%,7.10%,7.00%,6.80%,7.00%,7.10%,6.70%,6.40%,6.50%,6.90%,6.20%,4.90%,4.80%,4.90%,5.00%,4.80%
Lesotho,Share of Govt Spending,Sub-Saharan Africa,5.60%,7.10%,8.80%,6.80%,6.10%,5.90%,5.60%,5.00%,4.70%,4.70%,2.90%,4.10%,5.60%,3.70%,3.60%,3.40%,3.80%,3.60%,3.80%,4.20%,3.80%
Liberia,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,2.90%,6.60%,3.20%,1.50%,1.10%,1.70%,1.70%,1.90%,1.80%,1.50%,1.40%,1.30%,1.30%,1.40%,1.50%
Madagascar,Share of Govt Spending,Sub-Saharan Africa,6.80%,6.80%,6.60%,7.80%,8.70%,6.90%,5.00%,5.00%,4.60%,6.00%,6.10%,5.90%,4.60%,5.20%,5.10%,4.60%,4.40%,4.00%,3.70%,3.40%,3.50%
Malawi,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,2.20%,1.90%,2.60%,4.30%,3.10%,2.60%,2.90%,3.40%,2.60%,2.80%,2.90%,3.80%,3.10%,2.30%,2.30%,2.50%,3.10%
Mali,Share of Govt Spending,Sub-Saharan Africa,. .,. .,7.60%,7.10%,6.40%,6.80%,6.50%,6.40%,6.30%,6.30%,7.70%,6.20%,6.80%,6.00%,7.70%,5.90%,7.60%,11.30%,11.60%,13.20%,14.30%
Mauritania,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,12.50%,10.60%,11.00%,. .,12.00%,13.20%,. .,. .,9.80%,9.90%,9.20%,8.40%,10.30%,. .,11.20%
Mauritius,Share of Govt Spending,Sub-Saharan Africa,1.00%,1.00%,0.90%,0.80%,0.80%,0.80%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.60%,0.60%,0.60%,0.80%,0.70%,0.70%,0.70%,0.70%,0.60%
Mozambique,Share of Govt Spending,Sub-Saharan Africa,5.90%,5.80%,5.40%,4.30%,4.80%,4.90%,5.50%,4.10%,3.00%,3.00%,3.00%,2.70%,3.30%,2.80%,3.00%,2.90%,2.40%,2.30%,3.20%,3.20%,3.20%
Namibia,Share of Govt Spending,Sub-Saharan Africa,6.60%,8.70%,7.80%,8.80%,8.70%,8.40%,8.80%,9.50%,9.50%,10.00%,11.00%,10.60%,10.50%,9.30%,9.00%,8.40%,10.40%,10.40%,9.50%,9.30%,8.80%
Niger,Share of Govt Spending,Sub-Saharan Africa,6.10%,6.20%,6.60%,7.40%,5.20%,5.20%,5.30%,4.80%,. .,. .,4.40%,4.10%,5.70%,6.70%,9.50%,5.10%,. .,. .,8.30%,9.30%,9.50%
Nigeria,Share of Govt Spending,Sub-Saharan Africa,. .,. .,2.20%,2.50%,4.90%,2.50%,2.70%,2.20%,2.80%,2.00%,3.40%,3.30%,3.20%,3.30%,3.60%,3.50%,3.30%,3.80%,4.60%,3.70%,4.00%
Rwanda,Share of Govt Spending,Sub-Saharan Africa,23.10%,16.80%,16.30%,15.20%,12.70%,11.40%,9.70%,7.70%,8.00%,6.10%,5.80%,5.90%,5.10%,4.40%,4.20%,4.00%,4.00%,4.60%,4.90%,5.00%,4.70%
Senegal,Share of Govt Spending,Sub-Saharan Africa,37.70%,29.90%,30.20%,30.40%,27.10%,26.50%,23.20%,20.10%,20.60%,18.50%,15.30%,14.10%,11.40%,10.60%,8.70%,8.80%,7.70%,7.80%,10.50%,9.30%,8.80%
Seychelles,Share of Govt Spending,Sub-Saharan Africa,2.90%,3.20%,3.00%,3.80%,3.00%,3.90%,4.80%,4.10%,3.20%,3.50%,4.30%,3.20%,2.10%,2.40%,2.40%,2.70%,7.20%,4.60%,5.00%,4.10%,3.90%
Sierra Leone,Share of Govt Spending,Sub-Saharan Africa,. .,. .,15.40%,14.40%,10.80%,10.90%,8.70%,7.90%,8.90%,10.40%,5.80%,6.20%,4.80%,4.00%,3.80%,4.10%,5.50%,4.50%,4.80%,4.50%,3.10%
Somalia,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
South Africa,Share of Govt Spending,Sub-Saharan Africa,. .,. .,5.50%,5.90%,6.20%,5.80%,5.30%,4.90%,4.70%,4.30%,4.00%,3.80%,3.50%,3.60%,3.60%,3.60%,3.50%,3.30%,3.30%,3.20%,2.90%
South Sudan,Share of Govt Spending,Sub-Saharan Africa,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,29.00%,27.70%,25.90%,23.70%,25.60%,8.40%,6.20%,3.40%
Sudan,Share of Govt Spending,Sub-Saharan Africa,30.50%,47.80%,43.20%,25.00%,25.30%,14.90%,28.20%,16.80%,19.30%,20.90%,25.30%,29.10%,. .,. .,. .,. .,. .,21.90%,23.20%,25.50%,11.50%
eSwatini,Share of Govt Spending,Sub-Saharan Africa,6.50%,5.70%,5.70%,5.00%,4.90%,5.70%,5.00%,6.50%,6.50%,5.90%,6.10%,6.30%,7.50%,8.70%,6.90%,6.60%,5.70%,5.40%,5.20%,5.70%,5.20%
Tanzania,Share of Govt Spending,Sub-Saharan Africa,10.30%,8.60%,8.90%,9.70%,7.90%,5.80%,4.80%,4.40%,4.40%,4.30%,3.80%,3.80%,4.50%,4.80%,4.70%,5.20%,5.90%,6.40%,6.50%,6.90%,6.90%
Togo,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,11.40%,9.90%,8.20%,. .,. .,10.10%,8.20%,7.90%,6.00%,6.10%,6.30%,6.60%,5.50%,5.90%,8.60%,7.10%
Uganda,Share of Govt Spending,Sub-Saharan Africa,13.50%,13.90%,12.00%,10.70%,10.10%,10.60%,11.70%,12.00%,11.30%,10.90%,10.70%,10.40%,16.00%,16.80%,8.70%,7.00%,6.40%,6.30%,6.30%,6.90%,7.10%
Zambia,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,6.80%,7.50%,8.20%,8.30%,8.00%,8.10%,7.70%,6.70%,6.30%,5.70%,6.60%,6.20%,5.90%,5.20%,5.70%
Zimbabwe,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,. .,. .,9.10%,23.20%,. .,. .,. .,4.50%,6.10%,9.10%,8.90%,9.20%,9.20%,7.40%,5.50%,5.60%
Belize,Share of Govt Spending,Central America and the Caribbean,. .,. .,2.70%,2.50%,2.60%,2.60%,3.00%,3.40%,3.80%,3.40%,4.80%,4.40%,3.80%,3.60%,3.50%,3.80%,3.80%,3.20%,3.50%,3.60%,3.90%
Costa Rica,Share of Govt Spending,Central America and the Caribbean,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cuba,Share of Govt Spending,Central America and the Caribbean,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Dominican Rep.,Share of Govt Spending,Central America and the Caribbean,5.90%,5.80%,7.10%,7.70%,6.70%,4.00%,4.00%,5.10%,4.20%,3.90%,3.80%,4.10%,4.20%,3.80%,3.20%,3.50%,3.80%,3.80%,3.80%,3.90%,4.10%
El Salvador,Share of Govt Spending,Central America and the Caribbean,5.80%,5.40%,4.40%,5.90%,6.10%,4.30%,4.40%,4.20%,4.00%,4.40%,4.20%,4.30%,4.40%,4.40%,4.30%,4.40%,4.40%,4.50%,4.30%,4.40%,4.20%
Guatemala,Share of Govt Spending,Central America and the Caribbean,5.80%,4.90%,6.40%,7.30%,5.50%,5.40%,3.60%,2.80%,2.90%,2.80%,3.10%,2.80%,2.80%,2.90%,3.20%,3.40%,3.10%,3.20%,3.50%,3.00%,2.90%
Haiti,Share of Govt Spending,Central America and the Caribbean,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Honduras,Share of Govt Spending,Central America and the Caribbean,. .,. .,3.30%,3.30%,3.00%,3.80%,2.70%,2.70%,2.80%,3.20%,3.60%,3.80%,4.10%,4.40%,4.30%,5.40%,5.60%,6.40%,6.10%,6.40%,6.50%
Jamaica,Share of Govt Spending,Central America and the Caribbean,1.90%,1.70%,1.80%,1.70%,1.80%,1.70%,1.70%,1.80%,1.90%,2.00%,2.70%,2.40%,2.60%,2.80%,3.10%,3.30%,3.20%,3.10%,3.30%,3.30%,4.40%
Mexico,Share of Govt Spending,Central America and the Caribbean,2.30%,2.30%,2.30%,2.30%,2.20%,2.00%,1.90%,1.90%,1.90%,1.90%,1.60%,1.90%,2.00%,2.00%,2.10%,2.20%,2.40%,2.40%,2.00%,1.90%,2.10%
Nicaragua,Share of Govt Spending,Central America and the Caribbean,. .,. .,2.40%,2.20%,2.90%,2.80%,2.40%,2.30%,2.60%,2.50%,2.30%,2.20%,2.30%,2.30%,2.80%,2.80%,2.80%,3.10%,2.40%,2.30%,2.20%
Panama,Share of Govt Spending,Central America and the Caribbean,3.80%,3.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Trinidad & Tobago,Share of Govt Spending,Central America and the Caribbean,. .,. .,0.60%,0.70%,0.90%,2.70%,2.80%,2.70%,2.10%,2.30%,1.70%,1.70%,1.90%,1.90%,2.70%,2.00%,2.20%,3.60%,2.70%,2.80%,2.40%
Canada,Share of Govt Spending,North America,2.80%,2.90%,2.70%,2.80%,2.80%,2.80%,2.80%,2.90%,2.90%,3.10%,3.20%,3.20%,2.80%,2.90%,2.70%,2.50%,2.60%,2.90%,2.90%,3.20%,3.10%
USA,Share of Govt Spending,North America,. .,. .,. .,9.10%,9.80%,10.80%,11.40%,11.50%,11.50%,11.30%,11.40%,11.30%,11.70%,11.80%,11.40%,10.70%,10.00%,9.40%,9.20%,8.90%,9.00%
Argentina,Share of Govt Spending,South America,4.40%,4.30%,4.10%,4.00%,4.50%,4.30%,3.80%,3.50%,3.00%,2.70%,2.50%,2.60%,2.40%,2.20%,2.10%,2.20%,2.30%,2.10%,2.00%,2.10%,2.10%
Bolivia,Share of Govt Spending,South America,9.00%,7.30%,7.00%,7.10%,6.10%,6.70%,6.00%,5.30%,5.30%,5.20%,5.60%,5.60%,5.30%,4.80%,5.10%,4.80%,4.40%,3.90%,4.10%,4.00%,3.90%
Brazil,Share of Govt Spending,South America,4.10%,4.20%,5.00%,5.40%,4.90%,3.70%,3.80%,3.80%,3.80%,3.90%,3.90%,4.10%,4.00%,3.80%,3.70%,3.60%,3.50%,3.50%,3.40%,3.70%,3.90%
Chile,Share of Govt Spending,South America,11.80%,11.40%,11.80%,11.40%,10.90%,12.20%,13.00%,12.50%,13.40%,12.10%,11.90%,9.10%,9.60%,9.90%,8.90%,8.60%,8.20%,7.60%,7.60%,7.60%,7.40%
Colombia,Share of Govt Spending,South America,10.90%,11.10%,11.50%,12.10%,12.20%,12.40%,13.10%,13.00%,11.60%,11.70%,13.90%,13.10%,12.40%,10.70%,11.20%,11.30%,10.60%,10.50%,11.10%,11.50%,11.60%
Ecuador,Share of Govt Spending,South America,9.70%,6.50%,6.30%,7.80%,8.20%,11.20%,9.50%,10.70%,9.60%,10.60%,7.60%,9.50%,8.70%,7.80%,7.30%,6.60%,6.30%,6.60%,6.50%,6.50%,6.40%
Guyana,Share of Govt Spending,South America,. .,. .,3.70%,4.00%,4.60%,4.40%,5.60%,3.80%,3.50%,4.40%,5.10%,4.70%,4.40%,4.10%,3.80%,3.90%,4.10%,5.00%,4.60%,4.80%,4.40%
Paraguay,Share of Govt Spending,South America,8.10%,6.70%,6.30%,5.60%,5.40%,5.10%,5.60%,4.90%,5.20%,5.30%,5.30%,5.00%,5.10%,5.30%,5.20%,5.50%,5.50%,5.20%,4.90%,4.50%,4.80%
Peru,Share of Govt Spending,South America,. .,. .,8.30%,8.50%,7.90%,7.60%,7.10%,8.00%,7.70%,7.00%,6.30%,7.10%,7.00%,7.00%,7.30%,7.60%,7.00%,7.70%,6.20%,5.90%,5.60%
Uruguay,Share of Govt Spending,South America,. .,8.10%,8.40%,8.20%,8.40%,7.40%,6.90%,7.00%,6.90%,6.10%,6.50%,6.10%,6.20%,5.90%,5.90%,5.70%,5.60%,5.60%,5.70%,5.90%,5.80%
Venezuela,Share of Govt Spending,South America,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Kazakhstan,Share of Govt Spending,Central Asia,. .,. .,. .,. .,4.90%,4.80%,4.60%,4.70%,4.90%,5.50%,4.30%,4.70%,4.50%,4.40%,4.80%,5.40%,4.90%,4.90%,4.30%,3.50%,4.80%
Kyrgyzstan,Share of Govt Spending,Central Asia,4.40%,5.20%,6.20%,5.20%,5.50%,6.00%,5.90%,5.60%,5.70%,4.50%,4.30%,4.40%,4.30%,3.70%,4.00%,4.30%,4.40%,4.60%,4.30%,4.20%,4.40%
Tajikistan,Share of Govt Spending,Central Asia,10.20%,7.90%,6.20%,6.40%,11.00%,11.70%,10.70%,. .,. .,. .,3.80%,3.30%,3.60%,4.00%,4.10%,. .,4.00%,3.80%,. .,. .,. .
Turkmenistan,Share of Govt Spending,Central Asia,12.80%,15.00%,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Uzbekistan,Share of Govt Spending,Central Asia,. .,3.90%,2.80%,2.20%,1.40%,1.40%,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
China,Share of Govt Spending,East Asia,13.40%,12.90%,11.70%,11.98%,11.87%,11.63%,11.58%,10.98%,10.96%,10.54%,8.38%,8.09%,7.64%,6.79%,6.55%,6.54%,6.58%,6.10%,6.00%,5.90%,5.50%
Japan,Share of Govt Spending,East Asia,2.40%,2.60%,2.50%,2.60%,2.60%,2.60%,2.70%,2.70%,2.70%,2.60%,2.60%,2.50%,2.50%,2.50%,2.50%,2.40%,2.50%,2.50%,2.50%,2.50%,2.50%
"Korea, North",Share of Govt Spending,East Asia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
"Korea, South",Share of Govt Spending,East Asia,16.40%,14.50%,14.40%,13.50%,13.70%,12.20%,11.70%,12.60%,12.30%,12.10%,12.50%,12.80%,13.20%,13.00%,12.70%,12.60%,12.80%,12.60%,12.60%,12.30%,12.40%
Mongolia,Share of Govt Spending,East Asia,4.90%,5.10%,6.20%,5.20%,5.10%,4.50%,4.40%,4.70%,4.40%,3.80%,3.20%,2.30%,2.40%,2.20%,2.40%,2.10%,2.20%,2.60%,2.10%,2.40%,2.50%
Taiwan,Share of Govt Spending,East Asia,12.10%,13.80%,8.20%,11.00%,11.10%,10.60%,10.60%,10.20%,10.10%,10.50%,10.90%,10.30%,10.20%,10.20%,10.50%,10.00%,10.10%,10.60%,10.20%,10.30%,10.30%
Afghanistan,Share of Govt Spending,South Asia,. .,. .,. .,. .,. .,. .,16.10%,12.70%,10.40%,11.90%,11.20%,9.90%,9.40%,8.30%,4.70%,4.30%,5.10%,3.80%,3.70%,3.70%,3.70%
Bangladesh,Share of Govt Spending,South Asia,12.30%,14.20%,12.30%,10.50%,10.10%,9.90%,10.10%,9.50%,9.80%,10.40%,8.10%,9.70%,11.20%,10.50%,9.90%,9.10%,9.70%,10.50%,10.90%,10.80%,10.20%
India,Share of Govt Spending,South Asia,10.70%,11.60%,11.50%,10.50%,9.90%,9.10%,10.10%,10.40%,9.50%,8.90%,8.90%,10.30%,9.90%,9.60%,9.30%,9.30%,9.50%,8.80%,9.10%,9.20%,8.70%
Nepal,Share of Govt Spending,South Asia,. .,. .,6.90%,7.50%,9.80%,11.70%,13.30%,14.00%,13.70%,10.40%,10.50%,8.50%,8.30%,8.30%,7.40%,8.70%,8.60%,7.70%,7.70%,5.80%,4.50%
Pakistan,Share of Govt Spending,South Asia,23.40%,24.00%,22.40%,24.00%,22.60%,25.40%,26.10%,24.50%,21.40%,18.00%,15.80%,16.90%,16.80%,17.00%,16.10%,15.90%,17.30%,18.00%,18.00%,17.70%,18.50%
Sri Lanka,Share of Govt Spending,South Asia,17.80%,16.10%,18.90%,15.60%,13.60%,12.50%,13.20%,11.10%,11.50%,13.90%,16.40%,14.60%,13.50%,13.50%,12.10%,12.50%,13.50%,12.50%,10.90%,11.10%,10.10%
Brunei,Share of Govt Spending,South-East Asia,12.10%,10.10%,9.80%,9.90%,8.40%,10.80%,6.90%,8.10%,8.20%,8.10%,8.40%,8.40%,7.90%,7.50%,7.00%,6.80%,9.10%,8.50%,9.00%,7.80%,7.80%
Cambodia,Share of Govt Spending,South-East Asia,19.90%,18.20%,14.70%,11.70%,9.00%,9.20%,9.40%,9.10%,8.10%,6.30%,5.20%,6.40%,7.10%,7.30%,7.10%,7.50%,7.70%,8.60%,8.60%,9.00%,9.20%
Indonesia,Share of Govt Spending,South-East Asia,5.60%,4.40%,4.10%,2.70%,3.80%,4.60%,4.90%,4.00%,3.60%,3.80%,3.00%,3.40%,3.70%,3.70%,3.80%,4.80%,4.20%,5.10%,4.70%,4.90%,4.30%
Laos,Share of Govt Spending,South-East Asia,. .,. .,3.80%,3.30%,3.70%,2.90%,3.30%,2.50%,2.30%,2.00%,1.80%,1.20%,0.90%,1.00%,0.90%,0.80%,. .,. .,. .,. .,. .
Malaysia,Share of Govt Spending,South-East Asia,6.40%,7.80%,5.90%,6.80%,7.50%,8.60%,8.00%,8.50%,7.50%,7.60%,6.80%,6.10%,5.60%,5.70%,5.00%,5.40%,5.50%,6.10%,6.10%,5.10%,4.30%
Myanmar,Share of Govt Spending,South-East Asia,9.10%,9.00%,10.40%,10.00%,9.00%,12.80%,12.70%,10.20%,. .,. .,. .,. .,. .,. .,19.60%,16.70%,14.40%,17.10%,17.80%,16.90%,15.20%
Philippines,Share of Govt Spending,South-East Asia,8.10%,7.50%,7.50%,6.80%,6.90%,7.30%,6.80%,6.80%,6.90%,7.10%,7.00%,6.30%,6.40%,6.70%,6.10%,6.70%,6.00%,6.10%,7.30%,6.00%,5.40%
Singapore,Share of Govt Spending,South-East Asia,26.50%,28.70%,24.80%,22.50%,26.80%,26.90%,27.20%,29.50%,26.60%,26.00%,22.00%,21.60%,22.20%,22.00%,21.70%,20.50%,19.20%,17.30%,17.70%,17.80%,17.10%
Thailand,Share of Govt Spending,South-East Asia,7.80%,6.40%,8.00%,7.20%,5.70%,7.00%,5.70%,5.50%,6.00%,6.90%,7.90%,8.00%,6.70%,7.00%,6.50%,6.50%,6.40%,6.50%,6.80%,6.40%,6.30%
Timor-Leste,Share of Govt Spending,South-East Asia,xxx,xxx,xxx,xxx,xxx,xxx,xxx,3.00%,6.30%,5.80%,3.00%,4.10%,2.50%,1.50%,2.20%,2.40%,1.80%,2.40%,1.40%,1.90%,1.40%
Viet Nam,Share of Govt Spending,South-East Asia,. .,. .,. .,. .,. .,7.60%,7.50%,6.80%,7.40%,8.20%,8.00%,7.20%,7.70%,7.30%,7.30%,7.10%,8.00%,8.10%,8.60%,8.00%,8.10%
Australia,Share of Govt Spending,Oceania,5.40%,5.20%,5.20%,5.20%,5.40%,5.30%,5.20%,5.20%,5.30%,5.30%,5.10%,5.10%,5.00%,4.80%,4.60%,4.50%,4.80%,5.20%,5.60%,5.50%,5.10%
Fiji,Share of Govt Spending,Oceania,4.70%,4.90%,7.10%,6.90%,5.70%,5.80%,6.60%,5.70%,6.50%,8.80%,6.20%,6.30%,5.80%,5.50%,5.30%,5.10%,3.30%,3.00%,3.20%,2.90%,2.70%
New Zealand,Share of Govt Spending,Oceania,4.30%,4.20%,4.20%,4.00%,3.80%,3.80%,3.50%,3.30%,3.50%,3.40%,3.20%,3.30%,3.10%,2.90%,3.00%,3.00%,3.00%,3.00%,3.10%,3.20%,3.00%
Papua New Guinea,Share of Govt Spending,Oceania,4.50%,3.30%,3.20%,2.60%,1.90%,1.90%,2.00%,2.00%,1.90%,2.30%,1.70%,1.80%,1.80%,1.80%,2.30%,1.80%,1.80%,2.00%,1.80%,1.70%,1.40%
Albania,Share of Govt Spending,Central Europe,. .,. .,. .,. .,. .,. .,. .,4.70%,5.40%,6.20%,6.30%,4.60%,5.30%,5.30%,5.30%,4.80%,4.20%,3.80%,3.80%,3.80%,4.10%
Bosnia-Herzegovina,Share of Govt Spending,Central Europe,. .,. .,. .,. .,7.60%,5.00%,4.30%,3.50%,3.10%,2.70%,2.50%,2.80%,2.60%,2.50%,2.40%,2.40%,2.20%,2.30%,2.20%,2.20%,2.70%
Bulgaria,Share of Govt Spending,Central Europe,7.00%,7.20%,7.10%,7.80%,7.90%,7.50%,7.20%,6.90%,6.70%,7.00%,5.70%,5.50%,5.10%,4.50%,4.60%,4.50%,3.90%,3.50%,4.30%,4.40%,4.80%
